date,return
2020-01-01,0.00000000
2020-01-02,0.00700000
2020-01-03,-0.00295858
2020-01-04,-0.00297619
2020-01-05,-0.00548902
2020-01-06,0.00100908
2020-01-07,0.00100705
2020-01-08,0.00301508
2020-01-09,0.00249750
2020-01-10,0.01640159
2020-01-11,-0.00240616
2020-01-12,0.00435203
2020-01-13,0.00335570
2020-01-14,0.04190476
2020-01-15,0.02108963
2020-01-16,-0.01138280
2020-01-17,-0.00690250
2020-01-18,-0.00918635
2020-01-19,-0.00623886
2020-01-20,-0.00225632
2020-01-21,0.00000000
2020-01-22,-0.00815956
2020-01-23,-0.00737327
2020-01-24,0.00280636
2020-01-25,-0.00790698
2020-01-26,0.00567108
2020-01-27,0.01401869
2020-01-28,0.01000000
2020-01-29,0.00401070
2020-01-30,0.01989390
2020-01-31,-0.01658163
2020-02-01,0.00307828
2020-02-02,-0.00349650
2020-02-03,0.00220070
2020-02-04,-0.00920245
2020-02-05,-0.00312500
2020-02-06,0.00044924
2020-02-07,-0.00269300
2020-02-08,0.00270758
2020-02-09,0.01526032
2020-02-10,-0.00827526
2020-02-11,-0.00708592
2020-02-12,0.00404313
2020-02-13,-0.00579323
2020-02-14,0.02209197
2020-02-15,0.00604491
2020-02-16,0.01066553
2020-02-17,-0.01211362
2020-02-18,0.01241438
2020-02-19,0.00459482
2020-02-20,0.01117550
2020-02-21,-0.01417004
2020-02-22,0.00000000
2020-02-23,-0.00708333
2020-02-24,-0.00084531
2020-02-25,-0.02116850
2020-02-26,0.01105217
2020-02-27,-0.00086505
2020-02-28,-0.00043328
2020-02-29,-0.00216826
2020-03-01,0.00653310
2020-03-02,-0.00472915
2020-03-03,-0.00173611
2020-03-04,-0.00304878
2020-03-05,-0.01183173
2020-03-06,-0.01077199
2020-03-07,0.00091743
2020-03-08,0.01877289
2020-03-09,-0.00529568
2020-03-10,-0.01293488
2020-03-11,0.00000000
2020-03-12,0.02106227
2020-03-13,-0.00395431
2020-03-14,0.00531444
2020-03-15,0.00175285
2020-03-16,0.00000000
2020-03-17,0.00829694
2020-03-18,-0.01331615
2020-03-19,0.01765225
2020-03-20,-0.00127877
2020-03-21,0.00170940
2020-03-22,0.00553663
2020-03-23,0.00126369
2020-03-24,0.00840336
2020-03-25,0.00330579
2020-03-26,0.00451560
2020-03-27,-0.00081367
2020-03-28,0.00774246
2020-03-29,0.00401284
2020-03-30,0.00000000
2020-03-31,0.00318471
2020-04-01,0.00079114
2020-04-02,-0.00355450
2020-04-03,0.00000000
2020-04-04,0.00556881
2020-04-05,0.00157356
2020-04-06,-0.00039216
2020-04-07,0.00313972
2020-04-08,-0.00273011
2020-04-09,0.00470588
2020-04-10,-0.00271950
2020-04-11,-0.00390625
2020-04-12,0.00078740
2020-04-13,-0.00550314
2020-04-14,-0.00278219
2020-04-15,0.00119904
2020-04-16,0.00478469
2020-04-17,0.00197472
2020-04-18,0.00472069
2020-04-19,0.00974279
2020-04-20,-0.00420489
2020-04-21,0.00385505
2020-04-22,0.00765111
2020-04-23,0.01469480
2020-04-24,-0.01464129
2020-04-25,0.00037707
2020-04-26,0.00753580
2020-04-27,-0.00111359
2020-04-28,-0.00297619
2020-04-29,0.00973054
2020-04-30,-0.01027900
2020-05-01,0.00937031
2020-05-02,0.00772627
2020-05-03,0.00072464
2020-05-04,0.00253256
2020-05-05,-0.00179986
2020-05-06,0.00289017
2020-05-07,0.00790230
2020-05-08,-0.00707214
2020-05-09,-0.01004304
2020-05-10,0.04245974
2020-05-11,-0.00168691
2020-05-12,0.00914015
2020-05-13,-0.00033245
2020-05-14,-0.00099800
2020-05-15,-0.00600000
2020-05-16,-0.00371120
2020-05-17,-0.00407886
2020-05-18,-0.00171350
2020-05-19,0.00275103
2020-05-20,0.00410397
2020-05-21,0.00101764
2020-05-22,-0.00677048
2020-05-23,-0.01269732
2020-05-24,-0.00739437
2020-05-25,0.01215154
2020-05-26,0.00000000
2020-05-27,-0.00558269
2020-05-28,0.00952717
2020-05-29,-0.00103878
2020-05-30,0.00242887
2020-05-31,-0.00069061
2020-06-01,0.00622407
2020-06-02,0.00648907
2020-06-03,0.00505732
2020-06-04,-0.00400534
2020-06-05,-0.00403769
2020-06-06,0.00135685
2020-06-07,-0.00169147
2020-06-08,0.01255940
2020-06-09,0.00066225
2020-06-10,0.00958995
2020-06-11,-0.00681376
2020-06-12,0.00723684
2020-06-13,0.00097276
2020-06-14,-0.00355987
2020-06-15,0.00456323
2020-06-16,0.00807494
2020-06-17,-0.00222505
2020-06-18,-0.00159642
2020-06-19,0.00128123
2020-06-20,0.00319489
2020-06-21,0.00126984
2020-06-22,0.00000000
2020-06-23,0.00126662
2020-06-24,-0.00094757
2020-06-25,0.01012658
2020-06-26,0.00155087
2020-06-27,0.00061843
2020-06-28,-0.00339716
2020-06-29,-0.00621891
2020-06-30,0.00031486
2020-07-01,-0.00471995
2020-07-02,-0.00127065
2020-07-03,0.00063694
2020-07-04,-0.00190840
2020-07-05,-0.00063857
2020-07-06,-0.00223785
2020-07-07,0.02569043
2020-07-08,0.04551008
2020-07-09,0.00447928
2020-07-10,-0.00055494
2020-07-11,0.00166667
2020-07-12,0.00941307
2020-07-13,-0.00163043
2020-07-14,0.01635769
2020-07-15,0.00659979
2020-07-16,0.01693590
2020-07-17,0.00756048
2020-07-18,-0.00496524
2020-07-19,-0.00677031
2020-07-20,-0.01423488
2020-07-21,-0.01151230
2020-07-22,-0.00535619
2020-07-23,-0.00460206
2020-07-24,0.00273224
2020-07-25,0.00190217
2020-07-26,0.00866270
2020-07-27,0.03060138
2020-07-28,-0.00526580
2020-07-29,0.00861632
2020-07-30,-0.00473343
2020-07-31,0.01584507
2020-08-01,0.02510970
2020-08-02,-0.01207057
2020-08-03,0.01236917
2020-08-04,-0.02205200
2020-08-05,0.01408451
2020-08-06,-0.00070855
2020-08-07,-0.01253548
2020-08-08,-0.00121300
2020-08-09,-0.01580739
2020-08-10,-0.00351582
2020-08-11,-0.01036925
2020-08-12,0.03693182
2020-08-13,0.03535354
2020-08-14,0.00920934
2020-08-15,-0.00088222
2020-08-16,0.00375608
2020-08-17,-0.01315789
2020-08-18,0.00495495
2020-08-19,-0.00156111
2020-08-20,0.02281879
2020-08-21,0.00106975
2020-08-22,0.02625961
2020-08-23,0.00081136
2020-08-24,-0.00850547
2020-08-25,-0.00267820
2020-08-26,0.00310688
2020-08-27,-0.00514615
2020-08-28,0.00228785
2020-08-29,0.01159420
2020-08-30,-0.01153379
2020-08-31,0.00269263
2020-09-01,0.00453234
2020-09-02,0.00796243
2020-09-03,0.03898714
2020-09-04,-0.00130500
2020-09-05,0.00841121
2020-09-06,-0.01305147
2020-09-07,0.01491129
2020-09-08,0.01173021
2020-09-09,-0.02435530
2020-09-10,-0.00602410
2020-09-11,-0.00285823
2020-09-12,0.00517440
2020-09-13,0.00094841
2020-09-14,-0.00283983
2020-09-15,0.00380807
2020-09-16,0.00623583
2020-09-17,0.00877193
2020-09-18,0.00586941
2020-09-19,-0.00398840
2020-09-20,0.00456871
2020-09-21,0.00434625
2020-09-22,0.00754039
2020-09-23,0.00017687
2020-09-24,-0.00406648
2020-09-25,0.01283422
2020-09-26,0.00295447
2020-09-27,0.01174845
2020-09-28,-0.00084402
2020-09-29,0.00727088
2020-09-30,-0.00616667
2020-10-01,-0.00793115
2020-10-02,0.00085734
2020-10-03,0.00530640
2020-10-04,-0.00118564
2020-10-05,-0.00067912
2020-10-06,0.00986059
2020-10-07,0.00583528
2020-10-08,-0.00082399
2020-10-09,0.00214592
2020-10-10,-0.00443787
2020-10-11,0.00613599
2020-10-12,0.00376802
2020-10-13,0.00146341
2020-10-14,0.00129702
2020-10-15,0.00291074
2020-10-16,-0.00225080
2020-10-17,0.00306848
2020-10-18,-0.01364366
2020-10-19,-0.00495050
2020-10-20,-0.00066667
2020-10-21,-0.01385180
2020-10-22,-0.00326124
2020-10-23,0.00984796
2020-10-24,0.00000000
2020-10-25,-0.00016943
2020-10-26,-0.00135593
2020-10-27,0.00135962
2020-10-28,-0.00559322
2020-10-29,-0.00154268
2020-10-30,-0.00464237
2020-10-31,-0.00034710
2020-11-01,0.00243140
2020-11-02,0.00293813
2020-11-03,-0.00378007
2020-11-04,0.00000000
2020-11-05,0.00519391
2020-11-06,0.01148047
2020-11-07,-0.00251256
2020-11-08,0.00101010
2020-11-09,-0.00050403
2020-11-10,0.00067272
2020-11-11,0.00990930
2020-11-12,0.00428195
2020-11-13,-0.01502286
2020-11-14,0.00420875
2020-11-15,0.00717863
2020-11-16,0.02205398
2020-11-17,-0.00378310
2020-11-18,0.00635324
2020-11-19,0.01239021
2020-11-20,0.01622283
2020-11-21,0.01852950
2020-11-22,-0.00628931
2020-11-23,0.02591199
2020-11-24,0.03440683
2020-11-25,-0.02433685
2020-11-26,-0.02179210
2020-11-27,0.00367959
2020-11-28,0.01994942
2020-11-29,0.00743042
2020-11-30,0.00851970
2020-12-01,-0.02251309
2020-12-02,0.00041118
2020-12-03,-0.00410846
2020-12-04,-0.01643192
2020-12-05,0.01570531
2020-12-06,-0.00013843
2020-12-07,0.00636943
2020-12-08,-0.00847689
2020-12-09,-0.00222531
2020-12-10,0.00055882
2020-12-11,0.00753558
2020-12-12,0.00178719
2020-12-13,-0.00123288
2020-12-14,-0.00068662
2020-12-15,-0.00247525
2020-12-16,-0.00234936
2020-12-17,0.00902527
2020-12-18,-0.00027278
2020-12-19,0.00791485
2020-12-20,0.01020956
2020-12-21,-0.00118483
2020-12-22,0.02203748
2020-12-23,0.03779070
2020-12-24,0.01210341
2020-12-25,0.01067003
2020-12-26,0.03875534
2020-12-27,-0.00062552
2020-12-28,0.00146138
2020-12-29,0.01582015
2020-12-30,0.00070621
2020-12-31,0.00443280
2021-01-01,-0.00439385
2021-01-02,0.01239170
2021-01-03,0.03430987
2021-01-04,0.00091996
2021-01-05,0.02020202
2021-01-06,0.00670786
2021-01-07,-0.02577948
2021-01-08,0.00872360
2021-01-09,-0.01480144
2021-01-10,-0.06212798
2021-01-11,-0.01189465
2021-01-12,0.01077023
2021-01-13,-0.00127796
2021-01-14,-0.00918215
2021-01-15,0.00783119
2021-01-16,0.02388092
2021-01-17,0.00878986
2021-01-18,-0.00833668
2021-01-19,-0.01961185
2021-01-20,0.01243887
2021-01-21,-0.00352697
2021-01-22,-0.01096949
2021-01-23,0.01837214
2021-01-24,0.01061199
2021-01-25,-0.01039144
2021-01-26,0.01926643
2021-01-27,0.02361111
2021-01-28,-0.08374384
2021-01-29,-0.00216204
2021-01-30,0.00148571
2021-01-31,0.00467183
2021-02-01,0.00508015
2021-02-02,-0.01665177
2021-02-03,0.02057803
2021-02-04,0.03830779
2021-02-05,0.03217822
2021-02-06,-0.00503876
2021-02-07,0.03749021
2021-02-08,0.01083591
2021-02-09,-0.00481283
2021-02-10,0.04859611
2021-02-11,0.00926837
2021-02-12,0.00459011
2021-02-13,0.04277051
2021-02-14,-0.02646281
2021-02-15,-0.02025768
2021-02-16,-0.00186054
2021-02-17,0.01323482
2021-02-18,0.01605759
2021-02-19,0.05748007
2021-02-20,-0.04598570
2021-02-21,0.00045420
2021-02-22,0.04129481
2021-02-23,-0.01215593
2021-02-24,-0.00042961
2021-02-25,-0.00286656
2021-02-26,0.01405507
