date,return
2020-01-01,0.00000000
2020-01-02,0.00650000
2020-01-03,-0.00345508
2020-01-04,-0.00347913
2020-01-05,-0.01201201
2020-01-06,-0.00256410
2020-01-07,0.00824742
2020-01-08,0.00456389
2020-01-09,-0.00251256
2020-01-10,0.00656566
2020-01-11,-0.00697906
2020-01-12,-0.00455005
2020-01-13,-0.00612245
2020-01-14,-0.00413223
2020-01-15,-0.02187500
2020-01-16,-0.00653595
2020-01-17,0.00717439
2020-01-18,0.00598477
2020-01-19,-0.00268817
2020-01-20,-0.00378378
2020-01-21,0.00435730
2020-01-22,-0.00431965
2020-01-23,-0.00326797
2020-01-24,0.00712719
2020-01-25,-0.00324324
2020-01-26,0.00217628
2020-01-27,-0.00216685
2020-01-28,0.01904244
2020-01-29,0.00104822
2020-01-30,0.00000000
2020-01-31,-0.00627615
2020-02-01,0.00529661
2020-02-02,-0.00576520
2020-02-03,-0.00318134
2020-02-04,-0.00640342
2020-02-05,0.00054054
2020-02-06,0.00000000
2020-02-07,0.00809935
2020-02-08,0.00690755
2020-02-09,-0.01310273
2020-02-10,0.00484392
2020-02-11,0.00373134
2020-02-12,-0.00634921
2020-02-13,0.00803859
2020-02-14,0.00896624
2020-02-15,0.00569948
2020-02-16,0.00461066
2020-02-17,-0.01421320
2020-02-18,0.00156740
2020-02-19,-0.00364583
2020-02-20,-0.00314795
2020-02-21,0.00105597
2020-02-22,-0.00368809
2020-02-23,0.00318471
2020-02-24,-0.00369198
2020-02-25,0.00584485
2020-02-26,-0.00157563
2020-02-27,0.00158061
2020-02-28,0.00420168
2020-02-29,-0.00260417
2020-03-01,-0.00052356
2020-03-02,-0.00104822
2020-03-03,0.00472689
2020-03-04,-0.00104058
2020-03-05,-0.00052138
2020-03-06,-0.00782881
2020-03-07,-0.00371156
2020-03-08,0.00267094
2020-03-09,-0.00159405
2020-03-10,0.00053305
2020-03-11,0.00372737
2020-03-12,0.00422833
2020-03-13,0.00786164
2020-03-14,0.00464396
2020-03-15,0.00460123
2020-03-16,0.00000000
2020-03-17,-0.00506586
2020-03-18,-0.01688843
2020-03-19,0.00582627
2020-03-20,-0.00418848
2020-03-21,0.00950370
2020-03-22,-0.00051813
2020-03-23,0.00363071
2020-03-24,-0.00257467
2020-03-25,-0.00207039
2020-03-26,-0.00207900
2020-03-27,0.00000000
2020-03-28,0.00730689
2020-03-29,-0.00411523
2020-03-30,-0.00259336
2020-03-31,0.01511992
2020-04-01,-0.00202429
2020-04-02,0.00254065
2020-04-03,0.00000000
2020-04-04,-0.00202224
2020-04-05,0.00203046
2020-04-06,-0.01314459
2020-04-07,0.00623053
2020-04-08,0.00102564
2020-04-09,-0.01228250
2020-04-10,0.00891920
2020-04-11,0.00154639
2020-04-12,0.00308325
2020-04-13,0.00153218
2020-04-14,-0.00560081
2020-04-15,0.00411946
2020-04-16,-0.00204290
2020-04-17,-0.00564103
2020-04-18,0.00155602
2020-04-19,-0.01189245
2020-04-20,0.00370763
2020-04-21,0.00052576
2020-04-22,-0.00525210
2020-04-23,0.00636943
2020-04-24,0.00157233
2020-04-25,-0.00417973
2020-04-26,0.00421496
2020-04-27,0.00365726
2020-04-28,0.00000000
2020-04-29,0.00933610
2020-04-30,-0.00407332
2020-05-01,0.00410678
2020-05-02,-0.00050916
2020-05-03,-0.00152905
2020-05-04,0.00102249
2020-05-05,-0.00204082
2020-05-06,-0.00153689
2020-05-07,0.00462487
2020-05-08,-0.00916497
2020-05-09,0.00051867
2020-05-10,-0.04455959
2020-05-11,0.00398180
2020-05-12,-0.00112867
2020-05-13,0.00226244
2020-05-14,0.00056306
2020-05-15,0.00112486
2020-05-16,-0.00056117
2020-05-17,-0.01179775
2020-05-18,0.00000000
2020-05-19,-0.00172612
2020-05-20,-0.00692841
2020-05-21,-0.01112412
2020-05-22,0.01736527
2020-05-23,0.00115741
2020-05-24,0.00057737
2020-05-25,0.00461361
2020-05-26,-0.00571429
2020-05-27,-0.00404624
2020-05-28,0.01107226
2020-05-29,0.00114025
2020-05-30,0.00910125
2020-05-31,0.01284916
2020-06-01,0.00871460
2020-06-02,0.00535332
2020-06-03,0.00264831
2020-06-04,-0.00105374
2020-06-05,0.00105597
2020-06-06,0.00421496
2020-06-07,0.00208986
2020-06-08,-0.00260146
2020-06-09,0.00104603
2020-06-10,-0.01200418
2020-06-11,0.00374332
2020-06-12,-0.00106157
2020-06-13,-0.00585106
2020-06-14,-0.00699677
2020-06-15,0.00327511
2020-06-16,-0.01138829
2020-06-17,0.00110988
2020-06-18,-0.00498339
2020-06-19,-0.00391499
2020-06-20,-0.01127396
2020-06-21,-0.00057670
2020-06-22,-0.00288684
2020-06-23,-0.00406504
2020-06-24,0.00761124
2020-06-25,-0.00288351
2020-06-26,-0.00464037
2020-06-27,0.00234192
2020-06-28,0.00699301
2020-06-29,0.00057471
2020-06-30,0.00459242
2020-07-01,0.01365188
2020-07-02,0.00332226
2020-07-03,0.00055006
2020-07-04,0.00329670
2020-07-05,-0.00545852
2020-07-06,0.01214128
2020-07-07,0.00862069
2020-07-08,0.00370763
2020-07-09,0.00368034
2020-07-10,0.00000000
2020-07-11,-0.00521921
2020-07-12,0.01002110
2020-07-13,-0.00361944
2020-07-14,-0.00052083
2020-07-15,0.00208551
2020-07-16,-0.00207684
2020-07-17,-0.00625652
2020-07-18,0.00158395
2020-07-19,0.00210526
2020-07-20,-0.00366876
2020-07-21,0.00158395
2020-07-22,-0.00105263
2020-07-23,0.00580169
2020-07-24,0.00417101
2020-07-25,0.01602896
2020-07-26,0.00250501
2020-07-27,0.00000000
2020-07-28,0.00598205
2020-07-29,-0.00788177
2020-07-30,0.00600601
2020-07-31,0.00445104
2020-08-01,-0.00049020
2020-08-02,-0.00736016
2020-08-03,0.01294821
2020-08-04,0.00485437
2020-08-05,-0.00913462
2020-08-06,0.00391773
2020-08-07,-0.00631681
2020-08-08,0.00295276
2020-08-09,0.00538160
2020-08-10,-0.00532430
2020-08-11,0.00146771
2020-08-12,-0.00243902
2020-08-13,0.00490196
2020-08-14,0.00631068
2020-08-15,0.01390221
2020-08-16,-0.01492537
2020-08-17,0.00480769
2020-08-18,0.00238095
2020-08-19,0.00426540
2020-08-20,-0.00516917
2020-08-21,-0.01756885
2020-08-22,0.00787402
2020-08-23,-0.01598837
2020-08-24,0.00850851
2020-08-25,-0.00492126
2020-08-26,0.00198807
2020-08-27,0.00346535
2020-08-28,-0.00147493
2020-08-29,0.00591716
2020-08-30,-0.00097466
2020-08-31,0.00878906
2020-09-01,0.00719770
2020-09-02,-0.00804163
2020-09-03,-0.01538462
2020-09-04,0.01339286
2020-09-05,0.00048309
2020-09-06,0.01544402
2020-09-07,-0.00702247
2020-09-08,-0.00474834
2020-09-09,0.00047939
2020-09-10,-0.00718391
2020-09-11,0.00000000
2020-09-12,0.00728863
2020-09-13,0.00335249
2020-09-14,-0.00808754
2020-09-15,-0.00628627
2020-09-16,0.00636631
2020-09-17,0.00725338
2020-09-18,0.00857960
2020-09-19,-0.00468604
2020-09-20,0.00283822
2020-09-21,-0.00282220
2020-09-22,0.00851466
2020-09-23,0.00697674
2020-09-24,0.00733945
2020-09-25,-0.01130199
2020-09-26,0.00693802
2020-09-27,0.00958029
2020-09-28,-0.00671441
2020-09-29,-0.00499093
2020-09-30,-0.00274977
2020-10-01,-0.00138249
2020-10-02,0.00138632
2020-10-03,0.00783410
2020-10-04,0.00362976
2020-10-05,-0.00585586
2020-10-06,0.01504102
2020-10-07,-0.00044248
2020-10-08,-0.00442870
2020-10-09,-0.00893655
2020-10-10,0.00090992
2020-10-11,-0.00136240
2020-10-12,0.00500911
2020-10-13,0.00180343
2020-10-14,0.01078167
2020-10-15,0.00307828
2020-10-16,0.00524476
2020-10-17,-0.00086505
2020-10-18,0.00216638
2020-10-19,0.01251079
2020-10-20,0.01430976
2020-10-21,0.01432079
2020-10-22,0.00994431
2020-10-23,-0.00156006
2020-10-24,0.00391236
2020-10-25,0.00543478
2020-10-26,0.00268817
2020-10-27,0.00763942
2020-10-28,0.01053424
2020-10-29,0.00221076
2020-10-30,-0.00293470
2020-10-31,0.00147601
2020-11-01,-0.00883002
2020-11-02,0.00112360
2020-11-03,0.00224215
2020-11-04,-0.00037202
2020-11-05,0.01265823
2020-11-06,-0.01307190
2020-11-07,0.00559284
2020-11-08,0.00258112
2020-11-09,0.00073368
2020-11-10,-0.01465201
2020-11-11,0.00566038
2020-11-12,0.00223881
2020-11-13,0.00074294
2020-11-14,0.00445104
2020-11-15,0.00477941
2020-11-16,0.00473416
2020-11-17,0.00757576
2020-11-18,0.00390903
2020-11-19,0.00387870
2020-11-20,-0.00594822
2020-11-21,0.00991501
2020-11-22,-0.00520833
2020-11-23,-0.00105263
2020-11-24,-0.00421941
2020-11-25,-0.01808511
2020-11-26,-0.00367918
2020-11-27,-0.00259451
2020-11-28,0.00074516
2020-11-29,0.01041667
2020-11-30,0.01202624
2020-12-01,-0.01138790
2020-12-02,0.00473416
2020-12-03,0.01046176
2020-12-04,-0.00353357
2020-12-05,-0.00213523
2020-12-06,0.00250179
2020-12-07,-0.00320057
2020-12-08,0.00357910
2020-12-09,-0.00461976
2020-12-10,0.00573888
2020-12-11,0.00141844
2020-12-12,-0.00070721
2020-12-13,0.00814448
2020-12-14,0.00243902
2020-12-15,-0.00104022
2020-12-16,0.00833912
2020-12-17,0.00239234
2020-12-18,0.00612245
2020-12-19,0.00739247
2020-12-20,0.01225166
2020-12-21,-0.00032321
2020-12-22,0.00646831
2020-12-23,-0.00127714
2020-12-24,-0.00160051
2020-12-25,0.00802826
2020-12-26,-0.00600506
2020-12-27,-0.00447857
2020-12-28,-0.01065203
2020-12-29,-0.00131926
2020-12-30,0.00363757
2020-12-31,-0.00459619
2021-01-01,-0.00728960
2021-01-02,-0.00067249
2021-01-03,0.02424242
2021-01-04,-0.00160565
2021-01-05,0.00644330
2021-01-06,0.01399491
2021-01-07,0.00990099
2021-01-08,-0.01729369
2021-01-09,0.05688246
2021-01-10,0.03216704
2021-01-11,-0.02014846
2021-01-12,-0.01767956
2021-01-13,-0.00286369
2021-01-14,-0.00028802
2021-01-15,-0.01412104
2021-01-16,-0.00771056
2021-01-17,-0.01566265
2021-01-18,0.00839552
2021-01-19,-0.00030581
2021-01-20,-0.00397797
2021-01-21,-0.00400987
2021-01-22,0.00715174
2021-01-23,-0.01134273
2021-01-24,0.00407779
2021-01-25,-0.00311139
2021-01-26,-0.02629931
2021-01-27,0.00000000
2021-01-28,0.03469927
2021-01-29,-0.00556242
2021-01-30,0.00687500
2021-01-31,-0.00554871
2021-02-01,0.00218204
2021-02-02,0.00682806
2021-02-03,-0.00551133
2021-02-04,0.01547988
2021-02-05,0.00960961
2021-02-06,0.00324101
2021-02-07,-0.00848946
2021-02-08,0.03484217
2021-02-09,0.04092428
2021-02-10,0.01544004
2021-02-11,-0.00848727
2021-02-12,-0.02209243
2021-02-13,0.03453773
2021-02-14,0.02360835
2021-02-15,-0.01423825
2021-02-16,0.00219834
2021-02-17,0.01702335
2021-02-18,-0.00634995
2021-02-19,0.03930443
2021-02-20,-0.01192580
2021-02-21,0.01968326
2021-02-22,-0.06138441
2021-02-23,-0.00918114
2021-02-24,-0.00783620
2021-02-25,-0.00564972
2021-02-26,-0.01532468
2021-02-27,-0.00723473
2021-02-28,-0.00027189
2021-03-01,-0.00190424
2021-03-02,0.00081922
2021-03-03,-0.00981461
2021-03-04,0.00444939
2021-03-05,-0.01130099
2021-03-06,0.00451213
2021-03-07,-0.00111794
2021-03-08,-0.01428571
2021-03-09,-0.00057670
2021-03-10,-0.00721709
2021-03-11,-0.00702988
2021-03-12,-0.00980392
2021-03-13,0.02363636
2021-03-14,-0.01967593
2021-03-15,-0.02349398
2021-03-16,-0.00821745
2021-03-17,-0.00867609
2021-03-18,-0.01144539
2021-03-19,-0.00769746
2021-03-20,0.01563562
2021-03-21,-0.01186552
2021-03-22,0.00202566
2021-03-23,0.02051110
2021-03-24,-0.02583979
2021-03-25,-0.00306540
2021-03-26,0.00411241
2021-03-27,0.00203943
2021-03-28,-0.00236967
2021-03-29,-0.00884354
2021-03-30,0.01108033
2021-03-31,0.02845528
2021-04-01,0.02083333
2021-04-02,0.00861538
2021-04-03,-0.01421658
2021-04-04,0.01183064
2021-04-05,0.03467153
2021-04-06,0.01678043
2021-04-07,-0.00357733
2021-04-08,0.01247228
2021-04-09,-0.00243375
2021-04-10,0.02146739
2021-04-11,0.00338718
2021-04-12,-0.00931677
2021-04-13,0.01476793
2021-04-14,0.00589139
2021-04-15,0.03037975
2021-04-16,0.04200477
2021-04-17,-0.01739322
2021-04-18,0.01231752
2021-04-19,-0.00645592
2021-04-20,0.00405954
2021-04-21,-0.01029083
2021-04-22,-0.02078575
2021-04-23,-0.01286940
2021-04-24,-0.00489237
2021-04-25,-0.01729249
2021-04-26,0.01177073
2021-04-27,0.00525000
2021-04-28,-0.00222662
2021-04-29,-0.00894632
2021-04-30,0.01670040
2021-05-01,0.00195886
2021-05-02,-0.00463415
2021-05-03,0.01058592
2021-05-04,-0.00843780
2021-05-05,0.07037764
2021-05-06,0.01934652
2021-05-07,-0.00206954
2021-05-08,0.00644223
2021-05-09,0.00594994
2021-05-10,-0.00932685
2021-05-11,0.00537190
2021-05-12,-0.03965658
2021-05-13,-0.01509769
